Number,State,Lata,Rate Center,Category,MOU,CNAM Storage,SMS,PeerlessMSG,CNAM Delivery,PO PIN,E911,E911 Type,Branded Calling,Destination,Custom Name,EU Type,EU Name,EU HouseNumber,EU St Name,EU City,EU State,EU ZipCode,EU Unit,EU PrefixDirectional
9127424780,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424753,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949040,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171746,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424732,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424739,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424795,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199186,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424799,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3024698879,DE,228,FELTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424792,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957974,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949058,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949089,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3024698882,DE,228,FELTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949037,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108223,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949036,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949041,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108315,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810532,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108138,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957271,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108214,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949042,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957468,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424790,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957170,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957424,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424747,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199195,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949111,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424804,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810597,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199041,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424759,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949119,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424749,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424763,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949070,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171723,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949075,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171734,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424806,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949078,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199183,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171726,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424805,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957998,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949080,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199190,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199208,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171728,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
