did,number_type,tag,customer_tier,vendor_tier
19127424780,did,ABC,1,1
19127424753,did,ABC,1,1
19284949040,did,ABC,1,1
16592171746,did,ABC,1,1
19127424732,did,ABC,1,1
19127424739,did,ABC,1,1
19127424795,did,ABC,1,1
19705199186,did,ABC,1,1
19127424799,did,ABC,1,1
13024698879,did,ABC,1,1
19127424792,did,ABC,1,1
15638957974,did,ABC,1,1
19284949058,did,ABC,1,1
19284949089,did,ABC,1,1
13024698882,did,ABC,1,1
19284949037,did,ABC,1,1
18702108223,did,ABC,1,1
19284949036,did,ABC,1,1
19284949041,did,ABC,1,1
18702108315,did,ABC,1,1
19862810532,did,ABC,1,1
18702108138,did,ABC,1,1
15638957271,did,ABC,1,1
18702108214,did,ABC,1,1
19284949042,did,ABC,1,1
15638957468,did,ABC,1,1
19127424790,did,ABC,1,1
15638957170,did,ABC,1,1
15638957424,did,ABC,1,1
19127424747,did,ABC,1,1
19705199195,did,ABC,1,1
19284949111,did,ABC,1,1
19127424804,did,ABC,1,1
19862810597,did,ABC,1,1
19705199041,did,ABC,1,1
19127424759,did,ABC,1,1
19284949119,did,ABC,1,1
19127424749,did,ABC,1,1
19127424763,did,ABC,1,1
19284949070,did,ABC,1,1
16592171723,did,ABC,1,1
19284949075,did,ABC,1,1
16592171734,did,ABC,1,1
19127424806,did,ABC,1,1
19284949078,did,ABC,1,1
19705199183,did,ABC,1,1
16592171726,did,ABC,1,1
19127424805,did,ABC,1,1
15638957998,did,ABC,1,1
19284949080,did,ABC,1,1
19705199190,did,ABC,1,1
19705199208,did,ABC,1,1
16592171728,did,ABC,1,1
19284949091,did,ABC,1,1
19127424745,did,ABC,1,1
19862810530,did,ABC,1,1
19284949077,did,ABC,1,1
19127424797,did,ABC,1,1
19284949084,did,ABC,1,1
19127424733,did,ABC,1,1
19705199213,did,ABC,1,1
15638957197,did,ABC,1,1
19127424802,did,ABC,1,1
15638957617,did,ABC,1,1
19862810601,did,ABC,1,1
19705199204,did,ABC,1,1
19862810596,did,ABC,1,1
19284949069,did,ABC,1,1
16592171730,did,ABC,1,1
18702108102,did,ABC,1,1
16592171729,did,ABC,1,1
19705199040,did,ABC,1,1
19862810533,did,ABC,1,1
19705199189,did,ABC,1,1
