Number,number_type,tag,customer_tier,vendor_tier
19127424780,did,Lead Tech,1,1
19127424753,did,Lead Tech,1,1
19284949040,did,Lead Tech,1,1
16592171746,did,Lead Tech,1,1
19127424732,did,Lead Tech,1,1
19127424739,did,Lead Tech,1,1
19127424795,did,Lead Tech,1,1
19705199186,did,Lead Tech,1,1
19127424799,did,Lead Tech,1,1
13024698879,did,Lead Tech,1,1
19127424792,did,Lead Tech,1,1
15638957974,did,Lead Tech,1,1
19284949058,did,Lead Tech,1,1
19284949089,did,Lead Tech,1,1
13024698882,did,Lead Tech,1,1
19284949037,did,Lead Tech,1,1
18702108223,did,Lead Tech,1,1
19284949036,did,Lead Tech,1,1
19284949041,did,Lead Tech,1,1
18702108315,did,Lead Tech,1,1
19862810532,did,Lead Tech,1,1
18702108138,did,Lead Tech,1,1
15638957271,did,Lead Tech,1,1
18702108214,did,Lead Tech,1,1
19284949042,did,Lead Tech,1,1
15638957468,did,Lead Tech,1,1
19127424790,did,Lead Tech,1,1
15638957170,did,Lead Tech,1,1
15638957424,did,Lead Tech,1,1
19127424747,did,Lead Tech,1,1
19705199195,did,Lead Tech,1,1
19284949111,did,Lead Tech,1,1
19127424804,did,Lead Tech,1,1
19862810597,did,Lead Tech,1,1
19705199041,did,Lead Tech,1,1
19127424759,did,Lead Tech,1,1
19284949119,did,Lead Tech,1,1
19127424749,did,Lead Tech,1,1
19127424763,did,Lead Tech,1,1
19284949070,did,Lead Tech,1,1
16592171723,did,Lead Tech,1,1
19284949075,did,Lead Tech,1,1
16592171734,did,Lead Tech,1,1
19127424806,did,Lead Tech,1,1
19284949078,did,Lead Tech,1,1
19705199183,did,Lead Tech,1,1
16592171726,did,Lead Tech,1,1
19127424805,did,Lead Tech,1,1
15638957998,did,Lead Tech,1,1
19284949080,did,Lead Tech,1,1
19705199190,did,Lead Tech,1,1
19705199208,did,Lead Tech,1,1
16592171728,did,Lead Tech,1,1
19284949091,did,Lead Tech,1,1
19127424745,did,Lead Tech,1,1
19862810530,did,Lead Tech,1,1
19284949077,did,Lead Tech,1,1
19127424797,did,Lead Tech,1,1
19284949084,did,Lead Tech,1,1
19127424733,did,Lead Tech,1,1
19705199213,did,Lead Tech,1,1
15638957197,did,Lead Tech,1,1
19127424802,did,Lead Tech,1,1
15638957617,did,Lead Tech,1,1
19862810601,did,Lead Tech,1,1
19705199204,did,Lead Tech,1,1
19862810596,did,Lead Tech,1,1
19284949069,did,Lead Tech,1,1
16592171730,did,Lead Tech,1,1
18702108102,did,Lead Tech,1,1
16592171729,did,Lead Tech,1,1
19705199040,did,Lead Tech,1,1
19862810533,did,Lead Tech,1,1
19705199189,did,Lead Tech,1,1
19284949083,did,Lead Tech,1,1
18702108083,did,Lead Tech,1,1
19127424751,did,Lead Tech,1,1
19127424756,did,Lead Tech,1,1
19127424734,did,Lead Tech,1,1
16592171745,did,Lead Tech,1,1
18702108107,did,Lead Tech,1,1
19127424748,did,Lead Tech,1,1
19284949113,did,Lead Tech,1,1
19284949085,did,Lead Tech,1,1
